kerrea	19870228	1.68	96			8427	kerrea gilbert	
diego tristan	19760105	1.86	87			7943	diego tristan	
benayoun	19800606	1.76	85			11502	yossi benayoun	
habib beye	19770119	1.83	78			2284	habib beye	
d. villa	19811203	1.75	68			11080	david villa	
pandev	19830727	1.84	63			7692	goran pandev	
fabien barthez	19710628	1.8	93			3022	fabien barthez	
anders svensson	19760717	1.78	82			12393	anders svensson	
emanuel	19830116	1.87	91			10202	emanuel pogatetz	
park	19810225	1.75	86			3220	park ji-sung	
glen little	19751015	1.91	83			9688	glen little	
ricardo	19830926	1.73	67			11126	ricardo quaresma	
terry	19801207	1.83	78			6739	john terry	
richards	19880624	1.8	83			11663	micah richards	
m. essien	19821203	1.8	78			8557	michael essien	
piotr	19840322	1.68	68			9356	piotr trochowski	
p. scharner	19800311	1.91	72			7848	paul scharner	
peter enckelman	19770310	1.88	78			7285	peter enckelman	
samuel	19810329	1.8	72			11411	jlloyd samuel	
franca	19820829	1.88	81			12270	anderson silva de franca	
larsson	19850606	1.78	70			4196	sebastian larsson	
maniche	19771111	1.73	61			12179	maniche	
f. kanoute	19770902	1.93	103			12330	frederic kanoute	
m. gomez	19850710	1.89				12216	mario gomez	
dickson etuhu	19820608	1.88	87			2850	dickson etuhu	
keith gillespie	19750218	1.78	71			2389	keith gillespie	
prica	19800630	1.85	87			759	rade prica	
ivan rakitic	19880310	1.84	63			12310	ivan rakitic	
duff	19790302	1.78	60			6069	damien duff	
bryan	19760619	1.78	71			5609	bryan hughes	
wesley	19840609	1.7	72			1623	wesley sneijder	
vogel	19770308	1.77	94			8559	johann vogel	
abidal	19790711	1.8	64			12311	eric abidal	
dietmar hamann	19730827	1.91	99			812	dietmar hamann	
tyrone mears	19830218	1.72	77			3338	tyrone mears	
coloccini	19820122	1.83	78			992	fabricio coloccini	
klose	19780609	1.82	74			7530	miroslav klose	
emre belozoglu	19800907	1.71	68			12332	emre belozoglu	
cicinho	19800624	1.7	78			12180	cicinho	
daniel	19770405	1.9	67			12333	daniel majstorovic	
younes kaboul	19860104	1.9	74			12272	younes kaboul	
bruno n'gotty	19710610	1.85	86			7303	bruno n'gotty	
castillo	19820515	1.8	100			4843	segundo castillo	
salomon	19850805	1.75	79			4860	salomon kalou	
andy van der meyde	19790930	1.81	75			12273	andy van der meyde	
markus	19820927	1.78	74			5914	markus rosenberg	
quim	19751113	1.97	97			12205	quim	
ciprian marica	19851002	1.82	87			4951	ciprian marica	
m. reiziger	19730503	1.78	75			5335	michael reiziger	
robbie fowler	19750409	1.8	75			7307	robbie fowler	
ashley cole	19801220	1.73	67			8836	ashley cole	
fritz	19801207	1.83	63			9536	clemens fritz	
clichy	19850726	1.79	71			12312	gael clichy	
m. petric	19810101	1.83	66			12334	mladen petric	
valente	19740912	1.82	62			8402	nuno valente	
robinho	19840125	1.72	66			12182	robinho	
fernando	19830921	1.81	91			798	fernando cavenaghi	
dario	19751112	1.8	81			12335	dario simic	
xavi	19800125	1.68	67			2378	xavi	
veloso	19860511	1.8	76			1857	miguel veloso	
naysmith	19781116	1.73	103			633	gary naysmith	
n. butt	19750121	1.77	83			11203	nicky butt	
b. jankovic		1.85	80			12336	bosko jankovic	
j. ruddy	19861024	1.93	97			2721	john ruddy	
ivan	19800129	1.82	63			12313	ivan klasnic	
jonathan spector	19860301	1.83	80			10978	jonathan spector	
carlos	19860205	1.73	84			12396	carlos villanueva	
muamba	19880406	1.85	74			1393	fabrice muamba	
tomasz kuszczak	19820320	1.9	65			2536	tomasz kuszczak	
sanctis	19770326	1.9	80			1239	morgan de sanctis	
phil	19820817	1.8	80			9574	phil jagielka	
richard dunne	19790921	1.85	88			12028	richard dunne	
j. reyes	19830901	1.75	71			12314	jose antonio reyes	
nuri	19880509	1.79	65			12337	nuri sahin	
steinsson	19820109	1.83	70			12315	gretar rafn steinsson	
pienaar	19820317	1.76	59			11238	steven pienaar	
paul konchesky	19810515	1.78	69			11064	paul konchesky	
weir	19700510	1.93	81			12397	david weir	
l. andreasen	19830423	1.86	81			9807	leon andreasen	
heaton	19860415	1.85	94			7150	tom heaton	
nicky shorey	19810219	1.75	68			11314	nicky shorey	
s. harper	19750314	1.88	81			5915	steve harper	
jason roberts	19780125	1.7	79			12316	jason roberts	
gary	19750218	1.8	83			6904	gary neville	
owen hargreaves	19810120	1.8	73			1317	owen hargreaves	
nuno	19760705	1.8	59			5517	nuno gomes	
nikola		2.02	63			12340	nikola zigic	
dwight yorke	19711103	1.78	78			5392	dwight yorke	
tobias	19790421	1.75	69			5368	tobias linderoth	
toure	19810319	1.78	92			12277	kolo toure	
angelos charisteas	19800209	1.9	82			12169	angelos charisteas	
marcelo salas	19741224	1.73	73			3634	marcelo salas	
david silva	19860108	1.73	67			12230	david silva	
anthony gardner	19800919	1.96	86			5791	anthony gardner	
m. jansen	19850411	1.91	72			8022	marcell jansen	
j. thomas	19830323	1.78	74			8595	jerome thomas	
fernando gago	19860410	1.78	66			8240	fernando gago	
olivier kapo	19800927	1.87	78			5460	olivier kapo	
hibbert	19810220	1.73	70			10195	tony hibbert	
s. finnan	19760420	1.78	76			9989	steve finnan	
giles barnes	19880805	1.85	78			10435	giles barnes	
omar bravo	19800304	1.74	71			11938	omar bravo	
valon behrami	19850419	1.84	72			6434	valon behrami	
kim kallstrom	19820824	1.82	92			12240	kim kallstrom	
pablo	19850116	1.74	70			6750	pablo zabaleta	
philipp degen	19830215	1.84	67			46	philipp degen	
dave kitson	19800121	1.91	70			5604	dave kitson	
s. diao	19770210	1.84	78			8041	salif diao	
nevland	19771110	1.77	73			362	erik nevland	
mike hanke	19831105	1.84	99			8450	mike hanke	
hughes	19791108	1.83	71			8647	aaron hughes	
f. ernst	19790530	1.82	75			507	fabian ernst	
bobic	19711030	1.85	77			10467	fredi bobic	
bendtner	19880116	1.91				2736	nicklas bendtner	
patrick	19760701	1.88	81			4301	patrick kluivert	
vincenzo iaquinta	19791121	1.85	77			8982	vincenzo iaquinta	
warner	19740511	1.93	87			7102	tony warner	
m. cassetti	19770529	1.87	77			1507	marco cassetti	
friedrich	19790529	1.85	76			2058	arne friedrich	
olic	19790914	1.82	64			12341	ivica olic	
ioannis	19811203	1.8	99			3624	ioannis amanatidis	
jeremie aliadiere	19830330	1.8	83			12244	jeremie aliadiere	
deco	19770827	1.74	73			12184	deco	
marchena	19790731	1.83	78			3408	carlos marchena	
simpson	19870104	1.73	75			11152	danny simpson	
d. jarolim	19790517	1.72	92			12246	david jarolim	
d. drogba	19780311	1.8	74			2725	didier drogba	
carlo	19730913	1.96	79			5022	carlo nash	
walter samuel	19780322	1.79	92			12231	walter samuel	
ronaldinho	19800321	1.76	71			12185	ronaldinho	
gary doherty	19800131	1.88	83			155	gary doherty	
mills	19770518	1.8	74			12219	danny mills	
s. ireland	19880822	1.83	103			9723	stephen ireland	
renan	19850124	1.84	82			8091	renan	
gibson	19871025	1.83	78			3711	darron gibson	
per mertesacker	19840929	1.96	60			6335	per mertesacker	
craig	19821231	1.93	91			7974	craig gordon	
maierhofer	19820816	2.02	86			5411	stefan maierhofer	
craig fagan	19821211	1.76	74			11759	craig fagan	
desailly	19680907	1.85	85			4047	marcel desailly	
rafinha	19850907	1.72	71			12187	rafinha	
solano	19741212	1.73	67			784	nolberto solano	
paul mcshane	19860106	1.96	61			12368	paul mcshane	
titus bramble	19810721	1.85	95			9936	titus bramble	
andrea	19790519	1.77	103			1025	andrea pirlo	
m. jankulovski	19770509	1.84	66			2426	marek jankulovski	
nigel quashie	19780720	1.83	78			10851	nigel quashie	
j. rodwell	19910311	1.85	59			8874	jack rodwell	
vaart	19830211	1.75	70			1081	rafael van der vaart	
jamie	19801130	1.91	91			4798	jamie ashdown	
a. taarabt	19890524	1.8	76			6912	adel taarabt	
maicon	19810726	1.84	77			12189	maicon	
ibrahim afellay	19860402	1.8	68			10852	ibrahim afellay	
r. nelsen	19771018	1.85	84			6155	ryan nelsen	
teemu	19791127	1.75	69			3794	teemu tainio	
louis saha	19780808	1.8	74			216	louis saha	
carlton cole	19831112	1.91	84			4439	carlton cole	
l. osman	19810517	1.73	62			2771	leon osman	
ballack	19760926	1.89	77			1001	michael ballack	
zambrotta	19770219	1.81	76			1675	gianluca zambrotta	
doyle	19830918	1.8	80			7213	kevin doyle	
ferdinand	19850218	1.83	74			10324	anton ferdinand	
mikael forssell	19810315	1.85	80			2118	mikael forssell	
gianluigi buffon	19780128	1.88	84			3254	gianluigi buffon	
stelios	19740712	1.72	68			3078	stelios giannakopoulos	
jermaine jones	19811103	1.84	66			11942	jermaine jones	
ledley king	19801012	1.88	85			4254	ledley king	
ferguson	19780202	1.8	74			604	barry ferguson	
asmir begovic	19870620	1.96	98			12342	asmir begovic	
mido	19830223	1.81	81			12399	mido	
jonas kamper	19830503	1.85	94			4433	jonas kamper	
heiko westermann	19830814	1.9	90			276	heiko westermann	
logan	19880129	1.85	72			5459	shaleum logan	
mannone	19880302	1.83	73			9048	vito mannone	
andy reid	19820729	1.7	75			12233	andy reid	
a. ivanschitz	19831015	1.79				417	andreas ivanschitz	
stephen warnock	19811212	1.7	77			3311	stephen warnock	
parker	19801013	1.7	60			3150	scott parker	
ki-hyeon	19790108	1.84	73			4130	seol ki-hyeon	
l. martin	19870209	1.85	98			7126	lee martin	
victor anichebe	19880423	1.85	80			10361	victor anichebe	
vucinic		1.86	76			12343	mirko vucinic	
stokes	19880725	1.8	94			12369	anthony stokes	
tomasz kupisz	19900102	1.8	76			6835	tomasz kupisz	
marco	19820402	1.9	88			2925	marco amelia	
dunn	19791227	1.78	78			7345	david dunn	
carroll	19770930	1.88	80			7875	roy carroll	
mikel arteta	19820326	1.79	74			2098	mikel arteta	
nigel de jong	19841130	1.74	72			4589	nigel de jong	
r. ferdinand	19781107	1.88	77			1367	rio ferdinand	
gary	19660803	1.8	85			6333	gary kelly	
jay	19881227	1.8	84			7686	jay simpson	
gary caldwell	19820412	1.8	64			12415	gary caldwell	
rosicky	19801004	1.78	90			12372	tomas rosicky	
a. sibierski	19740805	1.88	80			5574	antoine sibierski	
wilfred bouma	19780615	1.79	83			2831	wilfred bouma	
ball	19791002	1.78	81			11550	michael ball	
david wheater	19870214	1.96	70			1431	david wheater	
s. carson	19850903	1.91	86			2311	scott carson	
adam	19870714	1.75	62			12373	adam johnson	
dean	19831124	1.85	88			8641	dean ashton	
thierry	19770817	1.85	67			7349	thierry henry	
e. edman	19781111	1.79	68			5055	erik edman	
m. salifou	19830601	1.8	88			7842	moustapha salifou	
