bakari sagna		1.76	72			4185	bakari sagna	
owomoyela		1.87	84			1818	patrick owomoyela	
bosingwa		1.83	90			3923	jose bosingwa	
ramsey		2.02	78			5432	aaron ramsey	
francesco bolzoni		1.8	69			11907	francesco bolzoni	
h. beye		1.82	79			2284	habib beye	
villa		1.75	68			11080	david villa	
kaviedes		1.82	57			7775	ivan kaviedes	
f. barthez		1.83	76			3022	fabien barthez	
wesley sonck		1.74	60			1913	wesley sonck	
carlos alberto		1.91	94			10948	carlos alberto	
pogatetz		1.87	91			10202	emanuel pogatetz	
glen little		1.91	95			9688	glen little	
niclas jensen		1.8	82			10589	niclas jensen	
micah richards		1.8	87			11663	micah richards	
m. essien		1.8	77			8557	michael essien	
r. green		1.88	77			6496	robert green	
scharner		1.88	83			7848	paul scharner	
peter enckelman		1.89	80			7285	peter enckelman	
rui		1.8	59			5476	rui costa	
michael gray		1.7	89			12215	michael gray	
gary mcallister		1.78	95			9606	gary mcallister	
mario gomez		1.89	87			12216	mario gomez	
crespo		1.84	78			12309	hernan crespo	
rade		1.85	87			759	rade prica	
i. rakitic		1.84	72			12310	ivan rakitic	
damien duff		1.79	73			6069	damien duff	
hughes		1.75	72			5609	bryan hughes	
bixente lizarazu		1.69	99			6199	bixente lizarazu	
eric abidal		1.8	75			12311	eric abidal	
mears		1.8	90			3338	tyrone mears	
fabricio coloccini		1.82	78			992	fabricio coloccini	
m. yepes		1.87	103			3027	mario yepes	
salomon		1.75	65			4860	salomon kalou	
oliveira		1.83	83			4224	ricardo oliveira	
eric addo		1.82	70			9070	eric addo	
rigobert		1.83	76			8028	rigobert song	
quim		1.97	97			12205	quim	
a. cole		1.72	67			8836	ashley cole	
gael clichy		1.81	72			12312	gael clichy	
daniel gygax		1.77	74			12030	daniel gygax	
hayden		1.8	72			2322	hayden mullins	
dimitar berbatov		1.88	79			3473	dimitar berbatov	
mahamadou		1.83	76			7778	mahamadou diarra	
f. cavenaghi		1.89	91			798	fernando cavenaghi	
miguel veloso		1.8	92			1857	miguel veloso	
