fredrik	19770416	1.76	75	midfielder	halmstad	620	fredrik ljungberg	
robert				forwarder	berlin germany	12377	robert kovac	
robert	19731029	1.8	74	midfielder	reims france	12284	robert pires	
patrick owomoyela	19791105	1.87	80	midfielder	hambourg germany	1818	patrick owomoyela	
l. robert	19730412	1.78	69	defender	mendoza argentina	10320	laurent robert	
sander	19741023	1.9	64	goalkeeper	enschede holland	4227	sander westerveld	
gabriel	19690201	1.83	77	forwarder	avellaneda argentina	3585	gabriel batistuta	
marcio				forwarder	brasilia brazil	12257	marcio amoroso	
sylvain	19740510	1.74	103			306	sylvain wiltord	
m. hadji		1.84	59		ifrane morocco 	12193	mustapha hadji	
petrov	19790705	1.8	88	midfielder	bulgaria	12258	stilian petrov	
downing				midfielder	moddlesbrough england	11366	stewart downing	
w. sonck		1.74	60			1913	wesley sonck	
alberto	19710212	1.93	80			10948	carlos alberto	
edgar davids	19730313	1.69	59	midfielder	paramaribo suriname	7107	edgar davids	
anders	19760717	1.77	77			12393	anders svensson	
inamoto	19790918	1.8	90	midfielder	osaka japan	2763	junichi inamoto	
antonio	19820712	1.75	70	midfielder	bari italy	6680	antonio cassano	
quaresma	19830926	1.73	67	midfielder	lisbon portugal	11126	ricardo quaresma	
michael	19821208	1.8	97	midfielder	accra  ghana 	8557	michael essien	
a. gilardino	19820705	1.84	79	forwarder	biella italy	8144	alberto gilardino	
f. toldo	19750502	1.96	95			6603	francesco toldo	
couto	19690802	1.84	83	defender	espinho portugal 	6236	fernando couto	
torsten		1.97	80			7370	torsten frings	
rui	19720329	1.8	74	midfielder	lisboa portugal 	5476	rui costa	
r. carlos	19730410	1.81	70			12380	roberto carlos	
babic	19810128	1.86	72	midfielder	croatia	12408	marko babic	
mark		1.74	57		wrexham wales	4846	mark hughes	
lee bowyer	19770103	1.76	68	forwarder	london england	8819	lee bowyer	
juan pablo sorin	19760505	1.71	93			12287	juan pablo sorin	
maniche	19771111	1.73	69	midfielder	lisbon portugal	12179	maniche	
a. nesta	19760319	1.87	79	defender	rome italy	7139	alessandro nesta	
cuauhtemoc blanco	19730117	1.77	73	forwarder	mexico city mexico	12288	cuauhtemoc blanco	
frederic kanoute	19770902	1.92	103	goalkeeper	sainte-foy-les-lyon	12330	frederic kanoute	
crespo	19750705	1.85	78	forwarder	florida argentina	12309	hernan crespo	
mendieta	19740317	1.73	92	midfielder	bilbao	10745	gaizka mendieta	
juan	19750309	1.86	80			12289	juan sebastian veron	
c. panucci	19730412	1.8	91	defender	savona italy 	5402	christian panucci	
