kovac	19740406	1.82	82			12377	robert kovac	
robert	19731029	1.87	80			12284	robert pires	
boenisch	19870201	1.91	85			8658	sebastian boenisch	
christian eichner	19821124	1.83	76			6406	christian eichner	
dejan	19780911	1.81	75			12347	dejan stankovic	
danny webber	19811228	1.78	72			11933	danny webber	
b. sanogo	19821217	1.87	57			7470	boubacar sanogo	
wesley sonck	19780809	1.74	75			1913	wesley sonck	
p. ji-sung	19810225	1.73	86			3220	park ji-sung	
antonio	19820712	1.75	78			6680	antonio cassano	
andriy	19760929	1.81	84			12194	andriy shevchenko	
grosso	19771128	1.9	63			3385	fabio grosso	
ricardo	19830926	1.73	67			11126	ricardo quaresma	
j. evans	19880102	1.88	57			12223	jonny evans	
michael essien	19821203	1.8	97			8557	michael essien	
francesco	19711202	1.96	95			6603	francesco toldo	
gilardino	19820705	1.84	79			8144	alberto gilardino	
smicer	19730524	1.81	77			12329	vladimir smicer	
marko	19810121	1.65	72			12408	marko babic	
bowyer	19770103	1.76	66			8819	lee bowyer	
hildebrand	19790405	1.85	62			2710	timo hildebrand	
muntari	19840827	1.79	67			12308	sulley ali muntari	
d. braaten	19820525	1.84	80			9068	daniel braaten	
modric	19850909	1.75	67			12318	luka modric	
marouane	19871122	1.94	85			4215	marouane fellaini	
a. nesta	19760319	1.87	79			7139	alessandro nesta	
c. blanco	19730117	1.75	85			12288	cuauhtemoc blanco	
d. etuhu	19820608	1.88	83			2850	dickson etuhu	
damien duff	19790203	1.78	79			6069	damien duff	
sneijder	19840609	1.7	81			1623	wesley sneijder	
aaron	19860904	1.83	82			7762	aaron hunt	
gennaro	19780109	1.77	77			11619	gennaro gattuso	
andreas	19811003	1.99	100			6078	andreas isaksson	
eric	19790711	1.86	74			12311	eric abidal	
ivan	19771130	1.7	95			12409	ivan guerrero	
s. hunt	19810801	1.74	62			4558	stephen hunt	
j. greening	19790102	1.8	73			1673	jonathan greening	
grygera	19800514	1.74	78			12319	zdenek grygera	
m. klose	19780609	1.82	81			7530	miroslav klose	
e. lewis	19740517	1.86	83			12394	eddie lewis	
srna	19820501	1.78	98			518	darijo srna	
emre	19800907	1.71	76			12332	emre belozoglu	
cicinho	19800624	1.72	78			12180	cicinho	
d. majstorovic	19770405	1.9	67			12333	daniel majstorovic	
mladen	19740304	1.91	65			12349	mladen krstajic	
castillo	19820515	1.81	78			4843	segundo castillo	
ching	19780524	1.85	72			8310	brian ching	
barnetta	19850522	1.76	87			4661	tranquillo barnetta	
xabi	19811125	2.03	75			10271	xabi alonso	
marco	19800722	1.75	66			7319	marco marchionni	
a. basinas	19760103	1.75	76			398	angelos basinas	
t. walcott	19890316	1.73	102			11608	theo walcott	
zanetti	19770414	1.8	92			11377	cristiano zanetti	
b. zenden	19760815	1.75	72			2911	boudewijn zenden	
rosenberg	19820927	1.85	71			5914	markus rosenberg	
julio	19741010	1.9	74			12382	julio cruz	
r. persie	19830806	1.83	62			12320	robin van persie	
clemens fritz	19801207	1.83	63			9536	clemens fritz	
ashley cole	19801220	1.52	69			8836	ashley cole	
hayden	19790327	1.8	72			2322	hayden mullins	
rensing	19840514	1.88	68			9997	michael rensing	
inzaghi	19730809	1.94	74			3111	filippo inzaghi	
dyer	19781229	1.73	88			2787	kieron dyer	
