robert kovac	19740406	1.82	82			12377	robert kovac	
robert	19731029	1.87	80			12284	robert pires	
s. boenisch	19870201	1.91	85			8658	sebastian boenisch	
c. eichner	19821124	1.83	76			6406	christian eichner	
stankovic	19780911	1.81	75			12347	dejan stankovic	
danny webber	19811228	1.78	72			11933	danny webber	
sanogo	19821217	1.87	57			7470	boubacar sanogo	
w. sonck	19780809	1.74	75			1913	wesley sonck	
park ji-sung	19810225	1.73	86			3220	park ji-sung	
cassano	19820712	1.75	78			6680	antonio cassano	
a. shevchenko	19760929	1.83	84			12194	andriy shevchenko	
fabio grosso	19771128	1.9	63			3385	fabio grosso	
ricardo	19830926	1.73	67			11126	ricardo quaresma	
jonny evans	19880102	1.88	57			12223	jonny evans	
michael essien	19821203	1.8	97			8557	michael essien	
toldo	19711202	1.96	95			6603	francesco toldo	
alberto gilardino	19820705	1.84	79			8144	alberto gilardino	
vladimir smicer	19730524	1.81	70			12329	vladimir smicer	
m. babic	19810121	1.65	72			12408	marko babic	
l. bowyer	19770103	1.76	66			8819	lee bowyer	
t. hildebrand	19790405	1.85	62			2710	timo hildebrand	
sulley ali muntari	19840827	1.79	67			12308	sulley ali muntari	
daniel braaten	19820525	1.84	80			9068	daniel braaten	
luka modric	19850909	1.75	67			12318	luka modric	
fellaini	19871122	1.94	85			4215	marouane fellaini	
alessandro	19760319	1.87	79			7139	alessandro nesta	
cuauhtemoc blanco	19730117	1.77	85			12288	cuauhtemoc blanco	
d. etuhu	19820608	1.88	83			2850	dickson etuhu	
duff	19790302	1.78	79			6069	damien duff	
wesley sneijder	19840609	1.7	81			1623	wesley sneijder	
aaron hunt	19860904	1.83	82			7762	aaron hunt	
gennaro gattuso	19780109	1.77	77			11619	gennaro gattuso	
andreas	19811003	1.99	100			6078	andreas isaksson	
e. abidal	19790911	1.86	74			12311	eric abidal	
ivan guerrero	19771130	1.7	95			12409	ivan guerrero	
hunt	19841111	1.74	62			4558	stephen hunt	
jonathan greening	19790102	1.8	73			1673	jonathan greening	
z. grygera	19800514	1.74	78			12319	zdenek grygera	
klose	19780609	1.82	81			7530	miroslav klose	
eddie lewis	19740517	1.86	83			12394	eddie lewis	
d. srna	19820501	1.78	98			518	darijo srna	
emre belozoglu	19800907	1.71	76			12332	emre belozoglu	
cicinho	19800624	1.72	78			12180	cicinho	
daniel majstorovic	19770405	1.9	67			12333	daniel majstorovic	
m. krstajic	19740304	1.91	65			12349	mladen krstajic	
segundo	19820515	1.81	78			4843	segundo castillo	
ching	19780524	1.85	72			8310	brian ching	
tranquillo barnetta	19850522	1.76	87			4661	tranquillo barnetta	
alonso	19811125	2.03	75			10271	xabi alonso	
m. marchionni	19800722	1.75	66			7319	marco marchionni	
angelos basinas	19760103	1.75	76			398	angelos basinas	
theo walcott	19890316	1.73	102			11608	theo walcott	
cristiano zanetti	19770414	1.8	92			11377	cristiano zanetti	
zenden	19760815	1.75	72			2911	boudewijn zenden	
rosenberg	19820927	1.85	71			5914	markus rosenberg	
julio cruz	19741010	1.9	74			12382	julio cruz	
r. persie	19830806	1.83	62			12320	robin van persie	
clemens fritz	19801207	1.83	63			9536	clemens fritz	
ashley cole	19801220	1.52	69			8836	ashley cole	
hayden mullins	19790327	1.8	72			2322	hayden mullins	
michael	19840514	1.88	68			9997	michael rensing	
f. inzaghi	19730809	1.94	74			3111	filippo inzaghi	
kieron dyer	19781229	1.73	88			2787	kieron dyer	
ben foster	19830403	1.88	80			2505	ben foster	
boulahrouz	19811228	1.79	77			5187	khalid boulahrouz	
tim wiese	19811217	1.93	96			8106	tim wiese	
xavi	19730228	1.7	67			2378	xavi	
james vaughan	19880714	2.02	59			12412	james vaughan	
miguel veloso	19860511	1.8	92			1857	miguel veloso	
b. jankovic	19840301	1.84	79			12336	bosko jankovic	
dennis rommedahl	19780722	1.79	85			8400	dennis rommedahl	
ivan klasnic	19800129	1.86	79			12313	ivan klasnic	
