bess bistro	20  w sixth st		bessbistro	136	bess bistro on pecan
chez nous	510 neches st	5124732413	cheznousaustin	64	chez nous.
the clay pit	1601 guadalupe st	5123225131	claypit	227	clay pit
congress	200 congress ave	5128272760	congressaustin.com/congress	51	congress
cru a wine bar	238 w second st	5124729463	cruawinebar	50	cru wine bar
driskill grill	20  brazos st		driskillgrill	240	driskill hotel
eddie v's edgewater grille	301 e fifth st	5124721860	eddiev	6	eddie v's - 5th street
finn & porter	500 e fourth st	5124934900	finnandporter.com/austin	169	finn & porter
fleming's prime steakhouse & wine bar	320 e second st	5124571500	flemingssteakhouse	38	fleming's prime steakhouse & wine bar
frank	407 colorado st	5124946916	hotdogscoldbeer	24	frank restaurant
kenichi	419 colorado st	5123208883	kenichiaustin	215	kenichi
la condesa	400a w second st	5124990300	lacondesaaustin	63	la condesa
lamberts barbecue	401 w second st	5124941500	lambertsaustin	4	lambert's downtown barbeque
leaf	20  w second st		leafsalad.com/index.asp	72	leaf
manuel's	310 congress ave	5124727555	manuels	157	manuel's downtown
moonshine patio bar & grill	303 red river st	5122369599	moonshinegrill	0	moonshine patio bar & grill
mulberry	360 nueces st, ste 20	5123233297	mulberryaustin	208	mulberry
parkside	301 e sixth st	5124749898	parkside-austin	3	parkside
piranha killer sushi	207 san jacinto blvd, ste 202	5124738775	piranhakillersushi	170	piranha killer sushi
ranch 616	616 nueces st	5124797616	theranch616	65	ranch 616.
roaring fork	701 congress ave	5125830000	roaringfork	66	roaring fork
stubb's bar-b-q	801 red river st	5124838341	stubbsaustin	33	stubb's catering
sullivan's steakhouse	300 colorado st	5124956504	sullivansteakhouse	23	lone star steakhouse & saloon
thai passion	620 congress ave, ste 105	5124721244	thaipassion	212	thai passion
trace	200 lavaca st	5125423660	traceaustin	156	trace
trio	98 san jacinto blvd	5126858300	triorestaurantaustin	20	trio
truluck's seafood, steak & crab	400 colorado st	5124829000	trulucks	19	truluck's seafood downtown
wahoo's fish taco	509-a rio grande st	5124763474	wahoos	60	wahoo's fish taco
