parkside	301 e sixth st	5124749898		3	parkside
max's wine dive	207 san jacinto blvd	5129040111		61	max's wine dive
frank	407 colorado st	5124946916		24	frank restaurant
chinatown	107 w fifth st	5126378888		178	chinatown downtown
annies cafe & bar	319 congress ave	5124721884		213	annie's cafe & bar
congress	200 congress ave	5128272760		51	congress
second bar & kitchen	200 congress ave	5128272750		172	second bar & kitchen
backspace, the	507 san jacinto blvd	5124749899		14	backspace
roppolo's pizzeria	316 e sixth st	5124761490		58	roppolo's pizzeria
easy tiger	709 e sixth st	5126144972		231	easy tiger
stubb's bar-b-q	801 red river st	5124808341		33	stubb's catering
el sol y la luna	600 e sixth st	5124447770		225	el sol y la luna
manuel's	310 congress ave	5124727555		157	manuel's downtown
chez nous	510 neches st	5124732413		64	chez nous.
moonshine patio bar & grill	303 red river st	5122369599		0	moonshine patio bar & grill
eddie v's prime seafood	301 e fifth st	5124721860		6	eddie v's - 5th street
thai passion	620 congress ave	5124721244		212	thai passion
la traviata	314 congress ave	5124798131		37	la traviata
sweetish hill bakery & cafe	98 san jacinto blvd	5124722411		259	sweetish hill bakery
swift's attic	315 congress ave	5124828200		271	swifts attic
