old pecan street cafe	504 trinity st	5124782491	oldpecanstcafe	17	old pecan street cafe
fado irish pub	20  w 4th st			53	fado irish pub
perry's steak house austin	20  w 7th st ste&nbsp;110		perryssteakhouse	11	perry's steak house austin
frank restaurant	407 colorado st	5124946894	hotdogscoldbeer	24	frank restaurant
iii forks prime steakhouse	111 lavaca st	5124741776	3forks	29	3 forks
casa chapala mexican rstrnt	101 san jacinto blvd	5124791200		153	casa chapala mexican restaurant
kyoto japanese restaurant	315 congress ave ste&nbsp;200	5124820903		216	kyoto japanese restaurant
serranos cafe  cantina	1111 red river st	5123229922	serranos	226	serranos cafe & cantina
driskill hotel	604 brazos st	8002529367	driskillhotel	240	driskill hotel
tea embassy tea treasures	900 rio grande st	5123309991	teaembassy	90	tea embassy tea treasures
ihop restaurant	707 e cesar chavez st	5124781188	ihop	32	ihop
kt's deli	300 w 15th st	5124959313		109	kt's deli
taverna	258 w 2nd st	5124771001	tavernabylombardi	9	taverna
lambert's downtown barbeque	401 w 2nd st	5124941500	lambertsaustin	4	lambert's downtown barbeque
congress	200 congress ave	5128272760		51	congress
brick oven restaurant	1209 red river st	5124777005		68	brick oven restaurant
simon's cafe-rio grande	1212 rio grande st	5124820378	simoncafe	110	simon's cafe-rio grande
paradise	401 e 6th st	5124765667	paradiseonsixth	270	paradise
trio	98 san jacinto blvd	5126858300		20	trio
mess hall	1019 brazos st	5123229625		237	mess hall
malaga tapas  bar	440 w 2nd st	5122368020		145	malaga tapas & bar
ginger man	301 lavaca st	5124738801		228	the ginger man
truluck's seafood steak crab	400 colorado st	5124829000		19	truluck's seafood downtown
peche	208 w 4th st	5124944011	pecheaustin	12	peche
stubb's bbq restaurant	801 red river st	5124808341		33	stubb's catering
coal vines	314 w 2nd st	5124732744	coalvines	117	coal vines
home run cafe	1700 congress ave	5124760901		77	home run cafe
eddie v's prime seafood	301 e 5th st	5124721860	eddiev	6	eddie v's - 5th street
muscle maker grill	906 congress ave	5124579400		78	muscle maker grill
taco cabana	517 w martin luther king jr blvd			167	taco cabana
219 west	612 w 6th st	5124742194		195	219 west
pelons tex mex	802 red river st	5122437087		101	pelons tex mex
opal divine's freehouse	700 w 6th st	5124773308	opaldivines	56	opal divine's freehouse
rainbow cattle co	303 w 5th st	5124748210		89	rainbow cattle co
chicken bowl	1610 lavaca st	5124749003		119	chicken bowl
tgi friday's	111 e cesar chavez st	5124782991	tgifridays	52	t.g.i. friday's
silhouette restaurant  bar	718 congress ave	5124788899	silhouette718	186	silhouette restaurant & bar
halcyon coffee house bar  lng	20  w 4th st		halcyonaustin	174	halcyon coffee house bar & lounge
roaring fork restuarant	701 congress ave	5125830000	roaringfork	66	roaring fork
onion	408 brazos st	5124766466	myspace.com/austinonion	49	the onion
friends bar	208 e 6th st	5123208193	friendsbar	188	friends bar
moonshine patio bar  grill	303 red river st	5122369599	moonshinegrill	0	moonshine patio bar & grill
texadelphia	501 w 15th st ste&nbsp;b	5123919189	texadelphia	13	texadelphia
finn  porter	500 e 4th st	5124934900	finnandporter.com/austin/index.cfm	169	finn & porter
capital grounds cafe austin	1403 lavaca st	5124762422		97	capital grounds cafe austin
flamers	704 congress ave	5124808440	cozzolispizzas	79	cozzoli's pizza
leviathan restaurant	454 w 2nd st	5123208400		42	leviathan restaurant
chipotle	801 congress ave	5123911668	chipotle	164	chipotle mexican grill
starbucks	500 e 4th st			253	starbucks coffee
ancho's restaurant	700 san jacinto blvd	5124763700	omnihotels	84	ancho's restaurant
salsarita's	504b trinity st			99	salsarita's
mccormick  schmick's	401 congress ave ste&nbsp;a	5122369600		94	willie g's
stephen f austin cafeteria	1700 congress ave	5124760901		123	stephen f austin cafeteria
serve gourmet	20  w 3rd st			249	serve gourmet
dominicks pizza	414 e 6th st	5124775877		91	roppolos pizzeria
gloria's restaurant	20  w 6th st			45	gloria's restaurant
pecan tree restaurant	20 n interstate 35	5124728211	hiaustintownlake.pacificahost	132	pecan tree restaurant
pacific latin fusion llc	115 san jacinto blvd	5124945649		73	pacific latin fusion
players	300 w mlk jr blvd	5124789299	austinplayers	141	players
moonshine patio bar  grill	600 e 3rd st	5122369599		0	moonshine patio bar & grill
janitzio mexican restaurant	600 w mlk jr blvd	5123223343		127	janitzio mexican restaurant
saba blue water cafe	208 w 4th st ste&nbsp;d	5124787222		92	saba blue water cafe
piranha killer sushi-austin	207 san jacinto blvd	5124738775	piranhakillersushi	170	piranha killer sushi
bd riley's pub	204 e 6th st	5124941335		211	bd riley's irish pub
pizzeria papparazzi	607 san jacinto blvd	5123919997		88	pizzeria papparazzi
mc donald's	w martin luther king jr blvd	5124828244	mcdonalds	158	mcdonald's
garrido's restaurant modern me	360 nueces st ste&nbsp;10	5123208226	garridosaustin	62	garrido's
leaf	419 w 2nd st	5124745323	leafsalad	72	leaf
nuevo leon taco express	1403 lavaca st	5122368226		98	nuevo leon taco express
sam's grill	400 w 15th st ste&nbsp;b10	5124818881		113	sam's grill
hickory street bar  grille	800 congress ave	5124778968	hickorystreet	171	hickory street
starbucks	300 e 4th st	5122368008	starbucks	246	starbucks
starbucks	111 e cesar chavez st	5124731589	starbucks	257	starbucks coffee
starbucks	1001 congress ave ste&nbsp;180	8006111669	starbucks	235	starbucks coffee
liberty tavern	500 e 4th st	5124934901		25	liberty tavern
el mercado restaurant	1702 lavaca st	5124777689	elmercadorestaurant	74	el mercado restaurant
geisha sushi  grill	616 e 6th st	5124802211		181	geisha sushi & grill
koriente restaurant	621 e 7th st	5122750852	koriente	209	koriente restaurant
murphy's deli	700 lavaca st ste&nbsp;110	5124808881	murphysdeli	80	murphy's deli
bess bistro on pecan	500 w 6th st	5124772377	bessbistro	136	bess bistro on pecan
union park	20  w 6th st			71	union park
parkside	301 e 6th st	5124749898		3	parkside
