annie's cafe & bar	319 congress ave	5124721884		213	annie's cafe & bar
arro	601 w 6th st	5129923234		57	haddingtons
arturo's bakery and cafe	314 w 17th st	5124690380		258	arturo's bakery & cafe
athenian bar & grill	600 congress ave ste c150	5124747775	athenianbargrill	139	athenian bar & grill
backspace the	507 san jacinto blvd	5124749899	thebackspace-austin	14	backspace
bangers sausage house & beer garden	79 rainey st	5123861656		261	banger's sausage house & beer garden
barchi sushi	206 colorado st	5123825557		214	barchi sushi
bess bistro on pecan	20  w 6th st		bessbistro	136	bess bistro on pecan
bikini's bar & grill	214 e 6th st	5124738381	bikinissportsbarandgrill	189	bikinis sports bar & grill
blue ribbon barbecue	120 e 4th st	5123693119		47	blue ribbon barbecue
bob's steak & chop house	301 lavaca st	5122222627		26	bob's steak & chop house
boiling pot the	700 e 6th st	5124720985	boilingpot.bzlnk	15	the boiling pot
brian's brew coffee	515 congress ave	5127387713	briansbrew	217	brian's brew coffee
bd riley's pub	204 e 6th st	5124941335		211	bd riley's irish pub
flemings prime steakhouse & wine bar	e 2nd street	5122369888		38	fleming's prime steakhouse & wine bar
ancho's restaurant	700 san jacinto blvd	5124763700		84	ancho's restaurant
brick oven restaurant	1209 red river st	5124777005		68	brick oven restaurant
carmelo's restaurant	504 e 5th st	5124777497		2	carmelo's restaurant
casa chapala mexican restaurant	101 san jacinto blvd	5124791200	casachapala	153	casa chapala mexican restaurant
chinatown restaurant	107 w 5th st	5126378888	chinatown-downtown	178	chinatown downtown
eddie v's restaurant	301 e 5th st	5124721860		6	eddie v's - 5th street
finn & porter restaurant & sushi bar	500 e 4th st	5124934900	finnandporter	169	finn & porter
frank restaurant	407 colorado st	5124946894		24	frank restaurant
garrido's restaurant	360 nueces st	5123238226	garridosaustin	62	garrido's
glorias restaurant	300 w 6th st	5122361795		45	gloria's restaurant
janitzio mexican restaurant	20  w martin luther king jr blvd			127	janitzio mexican restaurant
koriente restaurant	e 7th st	5122369600		209	koriente restaurant
liberty tavern restaurant	500 e 4th st	5124934901		25	liberty tavern
cedar door	201 brazos st	5124733712	cedardooraustin	263	cedar door
